3.0,4.0,5.0,8.0,13.0,21.0
6.0,15.0,28.0,29.0,32.0,41.0
23.0,27.0,43.0,44.0,70.0,92.0
6.0,10.0,39.0,40.0,61.0,62.0
45.0,107.0,122.0,150.0,174.0,212.0
16.0,17.0,33.0,40.0,41.0,42.0
7.0,13.0,17.0,22.0,25.0,26.0
1.0,1.0,10.0,20.0,29.0,36.0
7.0,25.0,49.0,53.0,129.0,169.0
2.0,5.0,9.0,12.0,19.0,46.0
3.0,12.0,16.0,20.0,34.0,35.0
0.0,14.0,14.0,15.0,35.0,59.0
27.0,69.0,81.0,137.0,205.0,223.0
30.0,52.0,58.0,60.0,66.0,71.0
2.0,18.0,22.0,24.0,26.0,44.0
8.0,11.0,11.0,18.0,33.0,48.0
9.0,19.0,21.0,24.0,28.0,30.0
120.0,268.0,286.0,224.667,224.667,224.667
23.0,31.0,57.0,110.0,146.0,176.0
4.0,42.0,49.0,55.0,69.0,76.0
