3.0,10.0,13.0,17.0,42.0,59.0
1.0,5.0,7.0,10.0,53.0,56.0
50.0,63.0,85.0,152.0,267.0,312.0
9.0,23.0,34.0,61.0,102.0,116.0
24.0,245.0,340.0,560.0,594.0,646.0
4.0,12.0,14.0,15.0,21.0,22.0
4.0,9.0,11.0,11.0,26.0,43.0
3.0,14.0,18.0,20.0,25.0,26.0
17.0,18.0,19.0,58.0,79.0,99.0
44.0,74.0,103.0,190.0,194.0,201.0
5.0,6.0,8.0,15.0,16.0,21.0
0.0,7.0,69.0,82.0,97.0,105.0
2.0,2.0,13.0,19.0,31.0,172.0
29.0,148.0,171.0,227.0,232.0,248.0
22.0,33.0,36.0,66.0,174.0,225.0
8.0,20.0,23.0,24.0,27.0,28.0
45.0,48.0,83.0,96.0,98.0,108.0
1.0,29.0,41.0,88.0,145.0,428.0
12.0,84.0,110.0,124.0,140.0,154.0
6.0,16.0,37.0,54.0,72.0,114.0
