13.0,14.0,23.0,29.0,31.0,33.0
1.0,28.0,39.0,44.0,55.0,61.0
2.0,6.0,10.0,19.0,20.0,26.0
12.0,24.0,43.0,54.0,64.0,65.0
48.0,53.0,72.0,94.0,97.0,105.0
7.0,7.0,13.0,38.0,40.0,55.0
3.0,5.0,10.0,34.0,44.0,48.0
3.0,9.0,30.0,46.0,49.0,64.0
15.0,16.0,16.0,85.0,89.0,99.0
6.0,12.0,54.0,63.0,69.0,82.0
1.0,2.0,11.0,14.0,15.0,17.0
0.0,8.0,9.0,18.0,18.0,21.0
38.0,46.0,104.0,108.0,115.0,242.0
37.0,51.0,52.0,56.0,57.0,83.0
30.0,31.0,47.0,56.0,59.0,60.0
19.0,27.0,42.0,50.0,62.0,66.0
4.0,4.0,24.0,25.0,26.0,41.0
36.0,51.0,109.0,117.0,173.0,190.0
8.0,22.0,43.0,53.0,58.0,91.0
5.0,11.0,22.0,25.0,40.0,67.0
