3.0,4.0,6.0,10.0,12.0,18.0
15.0,76.0,125.0,72.0,72.0,72.0
7.0,81.0,44.0,44.0,44.0,44.0
10.0,31.0,48.0,58.0,59.0,69.0
88.0,88.0,88.0,88.0,88.0,88.0
38.0,38.0,38.0,38.0,38.0,38.0
7.0,11.0,11.0,14.0,10.75,10.75
1.0,2.0,3.0,5.0,9.0,12.0
4.0,29.0,34.0,42.0,56.0,71.0
1.0,6.0,3.5,3.5,3.5,3.5
13.0,14.0,50.0,57.0,60.0,64.0
0.0,5.0,9.0,24.0,40.0,44.0
16.0,16.0,16.0,16.0,16.0,16.0
17.0,20.0,27.0,30.0,82.0,101.0
21.0,28.0,61.0,79.0,98.0,103.0
8.0,13.0,19.0,33.0,36.0,52.0
22.0,23.0,25.0,92.0,102.0,118.0
2.0,2.0,2.0,2.0,2.0,2.0
8.0,26.0,124.0,52.6667,52.6667,52.6667
15.0,32.0,39.0,46.0,77.0,80.0
