9.0,12.0,26.0,50.0,51.0,52.0
43.0,62.0,76.0,83.0,87.0,102.0
13.0,53.0,72.0,78.0,96.0,100.0
6.0,7.0,14.0,16.0,25.0,34.0
11.0,63.0,444.0,813.0,844.0,435.0
24.0,28.0,33.0,41.0,43.0,65.0
6.0,8.0,11.0,14.0,18.0,18.0
21.0,25.0,30.0,33.0,85.0,87.0
40.0,63.0,95.0,95.0,103.0,129.0
23.0,29.0,39.0,40.0,58.0,64.0
1.0,3.0,4.0,10.0,15.0,16.0
0.0,7.0,9.0,15.0,17.0,19.0
2.0,3.0,55.0,70.0,71.0,84.0
4.0,5.0,8.0,70.0,98.0,116.0
35.0,48.0,57.0,66.0,97.0,105.0
2.0,5.0,20.0,26.0,30.0,31.0
1.0,17.0,19.0,24.0,36.0,37.0
205.0,266.0,604.0,720.0,745.0,802.0
59.0,106.0,163.0,211.0,258.0,284.0
10.0,12.0,13.0,22.0,32.0,41.0
