6.0,17.0,23.0,27.0,36.0,36.0
43.0,52.0,76.0,57.0,57.0,57.0
1.0,18.0,28.0,29.0,77.0,30.6
4.0,37.0,47.0,29.3333,29.3333,29.3333
65.0,65.0,65.0,65.0,65.0,65.0
7.0,11.0,22.0,32.0,34.0,46.0
5.0,17.0,24.0,37.0,20.75,20.75
1.0,24.0,30.0,31.0,38.0,42.0
40.0,40.0,40.0,40.0,40.0,40.0
19.0,20.0,63.0,67.0,42.25,42.25
6.0,12.0,15.0,20.0,21.0,26.0
0.0,2.0,8.0,13.0,16.0,29.0
49.0,55.0,55.0,71.0,57.5,57.5
9.0,10.0,14.0,18.0,23.0,32.0
4.0,12.0,13.0,15.0,21.0,22.0
2.0,9.0,10.0,19.0,26.0,38.0
7.0,11.0,14.0,16.0,25.0,31.0
40.0,40.0,40.0,40.0,40.0,40.0
3.0,5.0,35.0,51.0,53.0,54.0
3.0,8.0,27.0,33.0,17.75,17.75
